student_id,day,start,end,level,score
1001,Mon,18:00,21:00,preferred,100
1001,Wed,19:00,21:00,acceptable,60
1001,Fri,19:00,21:00,acceptable,60
1002,Thu,19:00,21:00,preferred,100
1002,Fri,19:00,21:00,acceptable,60
1003,Thu,20:00,22:00,preferred,100
1003,Fri,18:00,21:00,acceptable,60
1004,Fri,18:00,21:00,preferred,100
1005,Mon,10:00,12:00,preferred,100
1005,Tue,10:00,12:00,preferred,100
1005,Wed,10:00,12:00,preferred,100
1005,Thu,10:00,12:00,preferred,100
1005,Fri,10:00,12:00,preferred,100
1006,Wed,10:00,22:00,preferred,100
1006,Thu,10:00,22:00,preferred,100
1006,Fri,10:00,22:00,preferred,100
1007,Mon,18:00,20:00,preferred,100
1007,Tue,18:00,20:00,preferred,100
1007,Wed,18:00,20:00,preferred,100
1007,Thu,18:00,20:00,preferred,100
1007,Fri,18:00,20:00,preferred,100
1008,Wed,14:00,18:00,preferred,100
1008,Thu,14:00,18:00,preferred,100
1008,Fri,14:00,18:00,preferred,100
