lesson_id,student_id,venue_id,duration_min,must_schedule,priority,shared_session_id
3001-1,3001,gym_a,60,FALSE,1,3001
3001-2,3001,gym_a,60,FALSE,1,
3002-1,3002,gym_a,60,FALSE,1,3001
3003-1,3003,gym_a,60,FALSE,1,3003
3004-1,3004,gym_a,60,FALSE,1,3003
3005-1,3005,gym_a,60,FALSE,1,3005
3006-1,3006,gym_a,60,FALSE,1,3005
3007-1,3007,gym_a,60,FALSE,1,3007
3008-1,3008,gym_a,60,FALSE,1,3007
3009-1,3009,gym_b,60,FALSE,1,3009
3010-1,3010,gym_b,60,FALSE,1,3009
3011-1,3011,gym_b,60,FALSE,1,3011
3012-1,3012,gym_b,60,FALSE,1,3011
3013-1,3013,gym_a,60,FALSE,1,
3013-2,3013,gym_a,60,FALSE,1,
3014-1,3014,gym_a,60,FALSE,1,
3015-1,3015,gym_a,60,FALSE,1,
3016-1,3016,gym_a,60,FALSE,1,
3017-1,3017,gym_a,60,FALSE,1,
3018-1,3018,gym_a,60,FALSE,1,
3019-1,3019,gym_a,60,FALSE,1,
3020-1,3020,gym_a,60,FALSE,1,
3021-1,3021,gym_a,60,FALSE,1,
3022-1,3022,gym_a,60,FALSE,1,
3023-1,3023,gym_a,60,FALSE,1,
3024-1,3024,gym_a,60,FALSE,1,
3025-1,3025,gym_a,60,FALSE,1,
3025-2,3025,gym_a,60,FALSE,1,
3026-1,3026,gym_a,60,FALSE,1,
3027-1,3027,gym_a,60,FALSE,1,
3027-2,3027,gym_a,60,FALSE,1,
3028-1,3028,gym_a,60,FALSE,1,
3029-1,3029,gym_a,60,FALSE,1,
3030-1,3030,gym_a,60,FALSE,1,
3030-2,3030,gym_a,60,FALSE,1,
3031-1,3031,gym_b,60,FALSE,1,
3031-2,3031,gym_b,60,FALSE,1,
3032-1,3032,gym_b,60,FALSE,1,
3033-1,3033,gym_b,60,FALSE,1,
3034-1,3034,gym_b,60,FALSE,1,
3035-1,3035,gym_b,60,FALSE,1,
3035-2,3035,gym_b,60,FALSE,1,
3036-1,3036,gym_b,60,FALSE,1,
3037-1,3037,gym_b,60,FALSE,1,
3038-1,3038,gym_b,60,FALSE,1,
3039-1,3039,gym_b,60,FALSE,1,
3040-1,3040,gym_b,60,FALSE,1,
3040-2,3040,gym_b,60,FALSE,1,
